agro_id,name_en,name_bn,agro_category,guessed_our_type,price_bdt,old_price_bdt,stock_status,vendor,url,image_url,match_slug,match_name_en,match_score
7359,Ectonil-Vet Powder 5X10 g,একটোনিল-ভেট পাউডার ৫x১০ গ্রাম প্যাকেট,"Cattle > Cattle Hygiene & Grooming > Lice, Mites, Flies & Mosquito repellent",vet_supply,178,187,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/ectonil-vet-powder-5x10-g-2,https://cdn.agromukam.com/images/p_img9868.webp,milk-powder-500g,Milk Powder 500g,0.50
7360,Elcaris-Vet Powder 100g,এলকারিস-ভেট পাউডার ১০০ গ্রাম প্যাক,Poultry > Poultry Medication > Anthelmintics,other,191,200,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/elcaris-vet-powder-100g,https://cdn.agromukam.com/images/p_img9869.webp,milk-powder-500g,Milk Powder 500g,0.50
7364,Enflox -Vet Soln 1 Litre,এনফ্লক্স-ভেট সলিউশন ১ লিটার,Cattle > Cattle Medication > Antibiotics,vet_supply,1658,1743.54,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/enflox-vet-soln-1-litre,https://cdn.agromukam.com/images/p_img10349.webp,,,
7365,Enflox-Vet Soln 100ml,এনফ্লক্স-ভেট সলিউশন ১০০ মিলি,Cattle > Cattle Medication > Antibiotics,vet_supply,183,192.1,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/enflox-vet-soln-100ml,https://cdn.agromukam.com/images/p_img10350.webp,,,
7366,Enrise Syrup 100mL,এনরাইজ সিরাপ ১০০ মিলি,Poultry > Poultry Nutrition > Electrolyte + Antistress,other,81,90,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/enrise-syrup-100ml,https://cdn.agromukam.com/images/p_img9873.webp,,,
7367,Envit-C Liquid 1 L,এনভিট-সি  ১ লিটার,Poultry > Poultry Nutrition > Vitamins & Minerals,other,357,395,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/envit-c-liquid-1-l,https://cdn.agromukam.com/images/p_img10351.webp,,,
7368,Envit-C Liquid 100 ml,এনভিট-সি ১০০ মিলি,Poultry > Poultry Nutrition > Vitamins & Minerals,other,50,55,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/envit-c-liquid-100-ml,https://cdn.agromukam.com/images/p_img10352.webp,,,
7372,Es-ADE 500ml,ইএস- এ.ডি.ই ৫০০ মিলি,Poultry > Poultry Nutrition > Vitamins & Minerals,other,1242,1334,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/es-ade-500ml,https://cdn.agromukam.com/images/p_img10356.webp,,,
7375,Es-ADE Injection 10ml,Es-ADE ইনজেকশন ১০ মিলি,Poultry > Poultry Nutrition > Vitamins & Minerals,other,49,51.16,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/es-ade-injection-10ml,https://cdn.agromukam.com/images/p_img9879.webp,,,
7376,E-Sel Dry Powder 1 kg,ই-সেল পাউডার ১ কেজি প্লাস্টিকের পাত্র,Poultry > Poultry Nutrition > Vitamins & Minerals,other,972,1080,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/e-sel-dry-powder-1-kg,https://cdn.agromukam.com/images/p_img10395.webp,milk-powder-500g,Milk Powder 500g,0.50
7377,E-Sel Solution 1 L,ই-সেল  তরল ১ লিটার,Poultry > Poultry Nutrition > Vitamins & Minerals,other,1674,1850,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/e-sel-solution-1-l,https://cdn.agromukam.com/images/p_img10397.webp,,,
7378,E-Sel Solution 100 ml,ই-সেল লিকুইড ১০০ মিলি,Poultry > Poultry Nutrition > Vitamins & Minerals,other,179,200,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/e-sel-solution-100-ml,https://cdn.agromukam.com/images/p_img10335.webp,,,
7379,E-Sel Solution 500 ml,ই-সেল লিকুইড ৫০০ মিলি,Poultry > Poultry Nutrition > Vitamins & Minerals,other,854,950,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/e-sel-solution-500-ml,https://cdn.agromukam.com/images/p_img10403.webp,,,
7380,Espa-Vet Inj 10 ml 1'S,Espa ইনজেকশন ১০ মিলি শিশি,Cattle > Cattle Nutrition > Digestive Stimulants,feed,48,50,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/espa-vet-inj-10-ml-1s,https://cdn.agromukam.com/images/p_img10428.webp,,,
7381,Floricol -Vet Solution 100 ml,Floricol -Vet Solution 100 ml,Cattle > Cattle Medication > Antibiotics,vet_supply,713,750,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/floricol-vet-solution-100-ml,https://cdn.agromukam.com/images/p_img10436.webp,,,
7382,Floricol -Vet Solution 500 ml,Floricol -Vet Solution 500 ml,Cattle > Cattle Medication > Antibiotics,vet_supply,2994,3150,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/floricol-vet-solution-500-ml,https://cdn.agromukam.com/images/p_img10435.webp,,,
7404,Grumen-Vet Bolus 15x4's,Grumen-Vet Bolus 15x4's,Poultry > Poultry Nutrition > Digestive Stimulant,other,133,139.2,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/grumen-vet-bolus-15x4s,https://cdn.agromukam.com/images/p_img9890.webp,,,
7406,Gutonic Powder-100gm,Gutonic Powder-100gm,Cattle > Cattle Nutrition > Antibiotic Replacement Feed Additives,feed,270,325,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/gutonic-powder-100gm,https://cdn.agromukam.com/images/p_img10463.webp,milk-powder-500g,Milk Powder 500g,0.50
7407,Gutonic Powder-500gm,Gutonic Powder-500gm,Cattle > Cattle Nutrition > Antibiotic Replacement Feed Additives,feed,1134,1365,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/gutonic-powder-500gm,https://cdn.agromukam.com/images/p_img10464.webp,milk-powder-500g,Milk Powder 500g,0.50
7408,Hadox Dry Powder 25 kg,হ্যাডক্স ড্রাই পাউডার ২৫ কেজি,Cattle > Cattle Feed Ingredients > Vitamins & Mineral Premixes,feed,7020,7540,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/hadox-dry-powder-25-kg,https://cdn.agromukam.com/images/p_img10259.webp,milk-powder-500g,Milk Powder 500g,0.50
7414,Herb-All COCC-X,হার্ব-অল COCC-X ৫০০ গ্রাম,Poultry > Poultry Medication > Anthelmintics,other,810,900,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/herb-all-cocc-x,https://cdn.agromukam.com/images/p_img10353.webp,,,
7421,Iverzol-Vet Suspension 50ml,আইভারজল-ভেট সাসপেনশন ৫০ মি.লি.,Cattle > Cattle Medication > Antihistaminics,vet_supply,134,140,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/iverzol-vet-suspension-50ml,https://cdn.agromukam.com/images/p_img9896.webp,,,
7422,K-10 Powder 100 g,কে-১০ পাউডার ১০০ গ্রাম,Poultry > Poultry Nutrition > Vitamins & Minerals,other,216,240,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/k-10-powder-100-g,https://cdn.agromukam.com/images/p_img9897.webp,milk-powder-500g,Milk Powder 500g,0.50
7423,K-10 Powder 10x10 g,কে-১০ পাউডার ১০x১০ গ্রাম,Poultry > Poultry Nutrition > Vitamins & Minerals,other,255,360,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/k-10-powder-10x10-g,https://cdn.agromukam.com/images/p_img9898.webp,milk-powder-500g,Milk Powder 500g,0.50
7425,Lacstar Powder 1 kg,ল্যাকস্টার পাউডার ১ কেজি,Cattle > Cattle Nutrition > Vitamins & Minerals,feed,540,600,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/lacstar-powder-1-kg,https://cdn.agromukam.com/images/p_img10380.webp,milk-powder-500g,Milk Powder 500g,0.50
7434,Maroxacin Vet Inj 10 ml 1's,মারোক্সাসিন ভেট ইনজেকশন ১০ মি.লি ১’স,Cattle > Cattle Medication > Antibiotics,vet_supply,333,350,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/maroxacin-vet-inj-10-ml-1s,https://cdn.agromukam.com/images/p_img10382.webp,,,
7435,Maroxacin Vet Inj 30 ml 1's,মারোক্সাসিন ভেট ইনজেকশন ৩০ মি.লি ১’স,Cattle > Cattle Medication > Antibiotics,vet_supply,951,1000,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/maroxacin-vet-inj-30-ml-1s,https://cdn.agromukam.com/images/p_img10383.webp,,,
7437,Masticare Plus Powder 100 g,মাস্টিকেয়ার প্লাস পাউডার ১০০ গ্রাম,Cattle > Cattle Nutrition > Vitamins & Minerals,feed,270,301,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/masticare-plus-powder-100-g,https://cdn.agromukam.com/images/p_img10423.webp,milk-powder-500g,Milk Powder 500g,0.50
7438,Masticare Plus Powder 500 g,মাস্টিকেয়ার প্লাস পাউডার ৫০০ গ্রাম,Cattle > Cattle Nutrition > Vitamins & Minerals,feed,1178,1305,In Stock,Square Pharmaceuticals PLC.,https://agromukam.com/masticare-plus-powder-500-g,https://cdn.agromukam.com/images/p_img10424.webp,milk-powder-500g,Milk Powder 500g,0.50
